ID,CLASS,CRN,TREE,BRANCH,COURSE_CEILING,MAJOR,MAJOR2,SUBJ,NUMB,SEQ
1,JUNI,10016,1,2,20,ANT,,ANT,370,0
1,JUNI,10016,2,2,20,ANT,,ANT,370,0
2,SENI,10016,1,3,20,ANT,,ANT,370,0
2,SENI,10016,1,6,20,ANT,,ANT,370,0
2,SENI,10016,2,3,20,ANT,,ANT,370,0
2,SENI,10016,2,6,20,ANT,,ANT,370,0
2,SENI,10016,3,3,20,ANT,,ANT,370,0
2,SENI,10016,3,6,20,ANT,,ANT,370,0
3,SENI,10016,1,2,20,ANT,,ANT,370,0
3,SENI,10016,2,2,20,ANT,,ANT,370,0
3,SENI,10016,3,2,20,ANT,,ANT,370,0
4,SENI,10016,1,3,20,HSP,,ANT,370,0
4,SENI,10016,1,6,20,HSP,,ANT,370,0
4,SENI,10016,2,3,20,HSP,,ANT,370,0
4,SENI,10016,2,6,20,HSP,,ANT,370,0
4,SENI,10016,3,3,20,HSP,,ANT,370,0
4,SENI,10016,3,6,20,HSP,,ANT,370,0
5,SENI,10016,1,5,20,MAT,,ANT,370,0
5,SENI,10016,2,5,20,MAT,,ANT,370,0
6,SENI,10016,1,2,20,ANT,,ANT,370,0
6,SENI,10016,2,2,20,ANT,,ANT,370,0
7,SENI,10016,1,4,20,ANT,,ANT,370,0
7,SENI,10016,1,5,20,ANT,,ANT,370,0
7,SENI,10016,2,7,20,ANT,,ANT,370,0
7,SENI,10016,3,3,20,ANT,,ANT,370,0
7,SENI,10016,3,7,20,ANT,,ANT,370,0
8,SENI,10016,1,4,20,ANT,,ANT,370,0
8,SENI,10016,1,6,20,ANT,,ANT,370,0
8,SENI,10016,2,3,20,ANT,,ANT,370,0
8,SENI,10016,2,5,20,ANT,,ANT,370,0
8,SENI,10016,3,1,20,ANT,,ANT,370,0
8,SENI,10016,3,2,20,ANT,,ANT,370,0
9,SENI,10016,1,3,20,ANT,,ANT,370,0
9,SENI,10016,1,5,20,ANT,,ANT,370,0
9,SENI,10016,2,2,20,ANT,,ANT,370,0
9,SENI,10016,3,1,20,ANT,,ANT,370,0
10,SENI,10016,4,3,20,ECO,,ANT,370,0
11,SENI,10016,1,3,20,ANT,,ANT,370,0
11,SENI,10016,1,5,20,ANT,,ANT,370,0
11,SENI,10016,2,2,20,ANT,,ANT,370,0
11,SENI,10016,3,1,20,ANT,,ANT,370,0
12,SENI,10016,1,3,20,PSY,GRS,ANT,370,0
12,SENI,10016,1,5,20,PSY,GRS,ANT,370,0
12,SENI,10016,2,3,20,PSY,GRS,ANT,370,0
12,SENI,10016,2,5,20,PSY,GRS,ANT,370,0
12,SENI,10016,3,2,20,PSY,GRS,ANT,370,0
12,SENI,10016,4,2,20,PSY,GRS,ANT,370,0
13,SENI,10016,1,3,20,ANT,,ANT,370,0
13,SENI,10016,1,5,20,ANT,,ANT,370,0
13,SENI,10016,2,2,20,ANT,,ANT,370,0
13,SENI,10016,3,1,20,ANT,,ANT,370,0
14,SENI,10016,1,3,20,BIO,ANT,ANT,370,0
14,SENI,10016,1,6,20,BIO,ANT,ANT,370,0
14,SENI,10016,2,3,20,BIO,ANT,ANT,370,0
14,SENI,10016,2,6,20,BIO,ANT,ANT,370,0
14,SENI,10016,3,3,20,BIO,ANT,ANT,370,0
14,SENI,10016,3,6,20,BIO,ANT,ANT,370,0
14,SENI,10016,4,4,20,BIO,ANT,ANT,370,0
15,SENI,10016,1,3,20,POL,ANT,ANT,370,0
15,SENI,10016,1,5,20,POL,ANT,ANT,370,0
15,SENI,10016,2,2,20,POL,ANT,ANT,370,0
15,SENI,10016,3,1,20,POL,ANT,ANT,370,0
16,SENI,10016,1,3,20,ANT,,ANT,370,0
16,SENI,10016,1,6,20,ANT,,ANT,370,0
16,SENI,10016,2,3,20,ANT,,ANT,370,0
16,SENI,10016,2,6,20,ANT,,ANT,370,0
16,SENI,10016,3,3,20,ANT,,ANT,370,0
16,SENI,10016,3,6,20,ANT,,ANT,370,0
16,SENI,10016,4,1,20,ANT,,ANT,370,0
17,SENI,10016,2,7,20,ANT,,ANT,370,0
17,SENI,10016,3,4,20,ANT,,ANT,370,0
17,SENI,10016,3,6,20,ANT,,ANT,370,0
17,SENI,10016,4,3,20,ANT,,ANT,370,0
18,SENI,10016,1,7,20,POL,,ANT,370,0
18,SENI,10016,2,7,20,POL,,ANT,370,0
18,SENI,10016,3,1,20,POL,,ANT,370,0
18,SENI,10016,4,1,20,POL,,ANT,370,0
19,JUNI,10016,1,3,20,ANT,,ANT,370,0
19,JUNI,10016,1,6,20,ANT,,ANT,370,0
19,JUNI,10016,2,2,20,ANT,,ANT,370,0
19,JUNI,10016,3,2,20,ANT,,ANT,370,0
20,JUNI,10016,1,1,20,ANT,,ANT,370,0
20,JUNI,10016,1,4,20,ANT,,ANT,370,0
20,JUNI,10016,2,1,20,ANT,,ANT,370,0
20,JUNI,10016,2,4,20,ANT,,ANT,370,0
20,JUNI,10016,3,1,20,ANT,,ANT,370,0
20,JUNI,10016,3,4,20,ANT,,ANT,370,0
20,JUNI,10016,4,1,20,ANT,,ANT,370,0
21,JUNI,10016,1,3,20,ANT,,ANT,370,0
21,JUNI,10016,1,5,20,ANT,,ANT,370,0
21,JUNI,10016,2,3,20,ANT,,ANT,370,0
21,JUNI,10016,2,5,20,ANT,,ANT,370,0
21,JUNI,10016,3,3,20,ANT,,ANT,370,0
21,JUNI,10016,3,5,20,ANT,,ANT,370,0
22,JUNI,10016,1,2,20,ANT,,ANT,370,0
22,JUNI,10016,2,1,20,ANT,,ANT,370,0
23,JUNI,10016,1,2,20,ANT,,ANT,370,0
23,JUNI,10016,2,2,20,ANT,,ANT,370,0
23,JUNI,10016,3,2,20,ANT,,ANT,370,0
24,JUNI,10016,1,4,20,ANT,FRS,ANT,370,0
24,JUNI,10016,2,2,20,ANT,FRS,ANT,370,0
24,JUNI,10016,4,1,20,ANT,FRS,ANT,370,0
25,JUNI,10016,1,4,20,PSY,,ANT,370,0
25,JUNI,10016,1,6,20,PSY,,ANT,370,0
25,JUNI,10016,2,3,20,PSY,,ANT,370,0
25,JUNI,10016,2,5,20,PSY,,ANT,370,0
25,JUNI,10016,3,2,20,PSY,,ANT,370,0
25,JUNI,10016,4,1,20,PSY,,ANT,370,0
26,SOPH,10016,1,3,20,ANT,,ANT,370,0
26,SOPH,10016,1,6,20,ANT,,ANT,370,0
26,SOPH,10016,2,2,20,ANT,,ANT,370,0
26,SOPH,10016,3,2,20,ANT,,ANT,370,0
27,JUNI,10016,1,2,20,ANT,,ANT,370,0
27,JUNI,10016,2,2,20,ANT,,ANT,370,0
27,JUNI,10016,3,2,20,ANT,,ANT,370,0
28,JUNI,10016,2,1,20,PSY,,ANT,370,0
29,JUNI,10016,1,1,20,AFR,,ANT,370,0
30,SOPH,10016,1,1,20,ANT,,ANT,370,0
31,SENI,12408,1,5,30,PSY,,ANT,101,0
