ID,CLASS,CRN,TREE,BRANCH,COURSE_CEILING,MAJOR,MAJOR2,SUBJ,NUMB,SEQ
1,SENI,25081,1,7,30,ENG,,AFR,101,0
1,SENI,25081,2,4,30,ENG,,AFR,101,0
1,SENI,25081,3,4,30,ENG,,AFR,101,0
1,SENI,25081,3,6,30,ENG,,AFR,101,0
1,SENI,25081,4,2,30,ENG,,AFR,101,0
2,SENI,25081,1,2,30,AFR,,AFR,101,0
2,SENI,25081,2,2,30,AFR,,AFR,101,0
3,SENI,25081,1,4,30,ENG,,AFR,101,0
3,SENI,25081,2,4,30,ENG,,AFR,101,0
3,SENI,25081,3,4,30,ENG,,AFR,101,0
4,JUNI,25081,1,5,30,POL,,AFR,101,0
4,JUNI,25081,2,3,30,POL,,AFR,101,0
4,JUNI,25081,2,5,30,POL,,AFR,101,0
4,JUNI,25081,3,3,30,POL,,AFR,101,0
4,JUNI,25081,3,5,30,POL,,AFR,101,0
4,JUNI,25081,4,1,30,POL,,AFR,101,0
5,JUNI,25081,1,2,30,MAT,,AFR,101,0
5,JUNI,25081,3,2,30,MAT,,AFR,101,0
6,JUNI,25081,1,7,30,PSY,,AFR,101,0
6,JUNI,25081,2,4,30,PSY,,AFR,101,0
6,JUNI,25081,2,6,30,PSY,,AFR,101,0
6,JUNI,25081,3,3,30,PSY,,AFR,101,0
6,JUNI,25081,3,5,30,PSY,,AFR,101,0
6,JUNI,25081,4,2,30,PSY,,AFR,101,0
7,JUNI,25081,1,2,30,AFR,,AFR,101,0
7,JUNI,25081,2,1,30,AFR,,AFR,101,0
8,SOPH,25081,4,4,30,BIO,,AFR,101,0
9,SOPH,25081,1,1,30,SOC,,AFR,101,0
9,SOPH,25081,2,1,30,SOC,,AFR,101,0
9,SOPH,25081,3,2,30,SOC,,AFR,101,0
9,SOPH,25081,4,3,30,SOC,,AFR,101,0
10,SOPH,25081,1,5,30,ECO,,AFR,101,0
10,SOPH,25081,2,2,30,ECO,,AFR,101,0
10,SOPH,25081,3,1,30,ECO,,AFR,101,0
11,SOPH,25081,1,2,30,HIS,POL,AFR,101,0
11,SOPH,25081,2,5,30,HIS,POL,AFR,101,0
11,SOPH,25081,3,2,30,HIS,POL,AFR,101,0
11,SOPH,25081,4,1,30,HIS,POL,AFR,101,0
12,SOPH,25081,1,4,30,ANT,,AFR,101,0
12,SOPH,25081,1,7,30,ANT,,AFR,101,0
12,SOPH,25081,2,3,30,ANT,,AFR,101,0
12,SOPH,25081,2,5,30,ANT,,AFR,101,0
12,SOPH,25081,3,3,30,ANT,,AFR,101,0
12,SOPH,25081,3,5,30,ANT,,AFR,101,0
